2023-03-26 20:40:07,178 INFO    Thread-4 (_run_job):6418 [wandb_setup.py:_flush():76] Configure stats pid to 6418
2023-03-26 20:40:07,180 INFO    Thread-4 (_run_job):6418 [wandb_setup.py:_flush():76] Loading settings from /Users/javigallego/.config/wandb/settings
2023-03-26 20:40:07,180 INFO    Thread-4 (_run_job):6418 [wandb_setup.py:_flush():76] Loading settings from /Users/javigallego/Desktop/UGR/TFG/Código/wandb/settings
2023-03-26 20:40:07,180 INFO    Thread-4 (_run_job):6418 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'root_dir': '/Users/javigallego/Desktop/UGR/TFG/Código', 'sweep_id': '9xmf1rlp', 'entity': 'javigallego4', 'project': 'Bachelor Thesis', 'run_id': '7dfjcc11', 'sweep_param_path': '/Users/javigallego/Desktop/UGR/TFG/Código/wandb/sweep-9xmf1rlp/config-7dfjcc11.yaml'}
2023-03-26 20:40:07,180 INFO    Thread-4 (_run_job):6418 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-26 20:40:07,180 INFO    Thread-4 (_run_job):6418 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Vegetation Indexes + Simple Mean.py', 'program': '/Users/javigallego/Desktop/UGR/TFG/Código/Vegetation Indexes + Simple Mean.py'}
2023-03-26 20:40:07,180 INFO    Thread-4 (_run_job):6418 [wandb_init.py:_log_setup():506] Logging user logs to /Users/javigallego/Desktop/UGR/TFG/Código/wandb/run-20230326_204007-7dfjcc11/logs/debug.log
2023-03-26 20:40:07,180 INFO    Thread-4 (_run_job):6418 [wandb_init.py:_log_setup():507] Logging internal logs to /Users/javigallego/Desktop/UGR/TFG/Código/wandb/run-20230326_204007-7dfjcc11/logs/debug-internal.log
2023-03-26 20:40:07,180 INFO    Thread-4 (_run_job):6418 [wandb_init.py:init():546] calling init triggers
2023-03-26 20:40:07,180 INFO    Thread-4 (_run_job):6418 [wandb_init.py:init():552] wandb.init called with sweep_config: {'amsgrad': True, 'backbone': 'efficientnet_b0', 'batch_size': 8, 'dataset_split': [0.8, 0.2], 'dimensionality_reduction': 'Vegetation Indexes', 'epochs': 60, 'freezing': 0.25, 'image_size': [99, 80], 'lr': 0.0046543248260500205, 'mAP_type': 'bbox', 'optimizer': 'AdamW', 'pansharpening': 'Simple Mean', 'scheduler': 'ReduceLROnPlateau', 'threshold': 0.005, 'weight_decay': 0.07433200996647324}
config: {}
2023-03-26 20:40:07,180 INFO    Thread-4 (_run_job):6418 [wandb_init.py:init():602] starting backend
2023-03-26 20:40:07,180 INFO    Thread-4 (_run_job):6418 [wandb_init.py:init():606] setting up manager
2023-03-26 20:40:07,188 INFO    Thread-4 (_run_job):6418 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-03-26 20:40:07,193 INFO    Thread-4 (_run_job):6418 [wandb_init.py:init():613] backend started and connected
2023-03-26 20:40:07,199 INFO    Thread-4 (_run_job):6418 [wandb_run.py:_config_callback():1251] config_cb None None {'amsgrad': True, 'backbone': 'efficientnet_b0', 'batch_size': 8, 'dataset_split': [0.8, 0.2], 'dimensionality_reduction': 'Vegetation Indexes', 'epochs': 60, 'freezing': 0.25, 'image_size': [99, 80], 'lr': 0.0046543248260500205, 'mAP_type': 'bbox', 'optimizer': 'AdamW', 'pansharpening': 'Simple Mean', 'scheduler': 'ReduceLROnPlateau', 'threshold': 0.005, 'weight_decay': 0.07433200996647324}
2023-03-26 20:40:07,203 INFO    Thread-4 (_run_job):6418 [wandb_init.py:init():701] updated telemetry
2023-03-26 20:40:07,204 INFO    Thread-4 (_run_job):6418 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-26 20:40:07,964 INFO    Thread-4 (_run_job):6418 [wandb_run.py:_on_init():2133] communicating current version
2023-03-26 20:40:08,258 INFO    Thread-4 (_run_job):6418 [wandb_run.py:_on_init():2142] got version response 
2023-03-26 20:40:08,259 INFO    Thread-4 (_run_job):6418 [wandb_init.py:init():789] starting run threads in backend
2023-03-26 20:40:08,315 INFO    Thread-4 (_run_job):6418 [wandb_run.py:_console_start():2114] atexit reg
2023-03-26 20:40:08,315 INFO    Thread-4 (_run_job):6418 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-26 20:40:08,316 INFO    Thread-4 (_run_job):6418 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-26 20:40:08,316 INFO    Thread-4 (_run_job):6418 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-26 20:40:08,316 INFO    Thread-4 (_run_job):6418 [wandb_init.py:init():831] run started, returning control to user process
2023-03-26 20:40:39,827 WARNING MsgRouterThr:6418 [router.py:message_loop():77] message_loop has been closed
